input	output
hafan sindara niyalma be te unggimbi,	所请官员，兹将遣往。
aisin gurun -i han -i bithe, liu fu -i ahvn deu de unggihe,	“金国汗致书刘府兄弟：
ujala golo be juwete gvsai kamqifi duin jurgan -i dosika,	“每二旗兵合为一路，分四路进兀扎拉路。
elqin yaburengge emgeri lakqaha be dahame, meni niyalma be unggihekv,	唯因使臣往来既断，未遣我人往，
garin si dade bai niyalma bihe,	刚林，尔原系白身，
liyoudung be baha manggi, bi tukiyefi iugi -i hergen buhe,	克辽东后，擢举尔为游击。
ilan nikan de fonjiqi,	讯彼汉人，
siuwei dai hv -i boui yang jeu giu, zung xang giui, jang guwan xeu, jau tiyan lu, ere duin niyalma gerqileme fafun de alafi, duileqi latuha yargiyan ofi,	为薛大湖家人杨周久、宗商举、张冠寿、赵天禄四人首告于法司。经勘审，犯奸属实，
mini gisun be jai we donjimbi,	谁将听我之言。
eigen sargan be ume faksalara,	勿离散人夫妇，
ere ubabe abka niyalma inu gemu getuken sambidere,	此亦天人所明鉴者也。
iletu arga serengge, muse jugvn -i unduri dariha heqen hoton -i irgen de alame hendurengge,	所谓明显之计，当宣谕沿途城池人民，
bayara nirui janggin,	巴雅喇系牛录章京，
orhoda butame jihe nikan be, suweni dekdeni songko faitara bade giyang ni dalin de isitala songko faitame gene,	尾随前来采参之明人，自尔等昔日哨探之处直往江岸蹑踪，
morin be juwe ubu sindafi, emu ubu be sitangga, ubahai de buhe.	以所获马之二分之一赐西唐阿、乌巴海。
jakvn gvsai baha hahai ton, emu minggan emu tanggv ninju, deji hehe emu tanggv dehi, uheri anggalai ton, juwe minggan jakvn tanggv,	“八旗俘获男丁一千一百六十名、上等妇女一百四十口，共计人口二千八百；
beise -i ilhi enqu gurun qi baime jihe qahar kalka -i beise hengkilehe,	诸贝勒之后，外部归附察哈尔、喀尔喀诸贝勒叩拜，
sain sehe seme ahvn deu akv aha akv emteli yadahvn be ume werire,	人虽精壮，若系无兄弟奴仆之孤独贫穷者，不得留之。
ilan tanggv qouha be gaifi gidafi niyalma tanggv funqeme waha,	率兵三百，击败之，杀百余人，
juwan juwe de, karaqin -i subudi dureng ni sargan be eigen akv anggasi seme, han -i gosime unggihengge	十二日，汗恤念喀喇沁部苏布迪杜棱之妻丧夫守寡，转赐
nikan -i karun jiqi alanjirakv kai,	见明哨卒来，亦不来报。
hele beiguwan be, sini jalan -i qouha be bargiyafi gajihakv, si burulame jihe seme hergen efulehe,	“赫勒备御，未收集本甲喇兵携至，孑然逃回。”革职，
dambagu juwan kiyan, jakvn quse,	烟十刀、绸八、
jai doron fungnere tenteke gisun, gemu emu gisun de wajirengge waka.	至封印之语，皆非一言可尽者也。”
xanggitu nirui hontoho janggin,	尚济图系半个牛录章京，
tede nenehe han -i tun de unggihe bithei gisun de,	时先汗致书于岛云：
banjire morin bi,	亦有活者，
qang ping jeu qi tuqike inenggi, beging ni he -i qouha be uqarafi, ubai, omoktu, hvmise, bayan meni duin gvsai gabsihiyan gidaha,	出昌平州之日，遇北京黑部兵，乌拜、鄂莫克图、胡米色、巴彦四旗先锋兵败之，
ajige sanggarjai de emu xanggiyan ergume buhe.	赐小桑阿尔斋白蟒缎朝服一。
luwan jeu -i niyalma be hvdun boxome usin taribu,	“督催滦州之人从速耕种。
jingse -i kemun, ten be dabume ilan jalan, jingse -i ninggude gemu bouxi sindambi,	顶式，连托共三节，均嵌宝石。
zu zung bing guwan aika gisun takvraha de, suwe karu ume jabure,	若祖总兵官遣人捎信来，尔等切勿答复，
durbejengge xui jing ilan, muheliyen xui jing emken, aisin -i xan feteku emken, menggun faksi juwe juru buhe,	方水晶三，圆水晶一，金耳挖一，银匠二对。
morin be gaihakv bederebuhe.	却之。
amala sunja inenggi ulebure jeku buhe,	后拨给五日饲料，
bithei niyalma -i gisun de dosifi, aikabade juwe gurun ehe dain be deribufi, gurun de jobolon isifi burginume samsire temxenume burulara ohode,	听书生之言，毁兄弟之好，设两国构兵，祸及国家，仓皇流离，争相遁逃，
kiru sara laba bileri tungken fiqakv, neneme bilaha songkoi qouha de gaifi yabu,	旗、伞、喇叭、啖呐、鼓、箫等，出征时仍照旧制携带。
meni onggolo tung yuwan pu de tehe asan se donjifi, bata -i songko be bahafi fargame genehebi,	驻通远堡阿山等先于我等闻讯，即蹑迹追击。
gumu emu morin,	古穆进马一，古
jifi aqara de, niyakvrafi hengkilefi, han -i buhi be tebeliyeme aqaha,	叩拜毕，抱汗膝见，
ere be ume kenehunjere seme wesimbure jakade,	于此勿有疑虑。”
damu tusiyetu han -i emu morin, ukxan nakqu -i emu morin, sun dureng ni emu morin, hatan baturu -i emu morin, konggor mafa -i emu morin, ajige sanggarjai -i emu morin,	止纳土谢图汗马一、乌克善舅舅马一、孙杜棱马一、哈坦巴图鲁马一、孔果尔老人马一、小桑阿尔斋马一，
koko be amasi bederebume beneme, han, beise -i baru gisureme, amba weile be toktome wajiha sehe bihe,	曾想送还阔科，即与汗及诸贝勒议定大事。
geli bederebuhekv,	亦未见送还。
ere gisun gemu jihe elqin -i xan de donjiha,	是言来使皆有耳闻，
tongki fuka sindaha hergen in dangse.	加圈点老档。
abkai gamarangge gojime, minde daljakv,	天为之耳，与我何干。
ambasai gaisu sere erinde aqime gaisu,	若诸大臣有令，方可驮载，
yang iugi -i emu qiyanzung,	杨游击下千总一员，
uluka de weile gaiha turgun,	罚乌鲁喀缘由：
aqame wajiha manggi, amba sarin dagilafi haqin haqin -i efin efime sarilaha,	见毕，设大宴，陈百戏，
be emgeri han -i irgen oho,	我等既为汗民，
orin emu de, yung ping de tehe beise medege alanjime, juwan ninggun niyalma be ulai gaifi isinjiha,	二十一日，镇守永平诸贝勒命乌赖率人十六前来报信，
tere niyalma de gisun fonjifi waha,	讯毕杀之。
juwe niyalma be uksin etuhei jafafi benjihe,	生擒甲兵二人解至。
emhun beging ni heqen adarame bimbi.	其北京城能独存乎。”
abka meni tondo, suweni neneme eherehe be safi, membe abkai gosirengge ere kai,	天鉴我直，知尔先行寻衅，故天眷我者，乃此也。
otori tuqike baqi helen jafame unggihe de, duin niyalma be jafafi ilan be sindafi unggihe,	由春蒐处遣往捉生，俘获四人，释三人还，
orin uyun de, ajige horgo qi amasi qahar -i baru bedereme jifi, huisung jaidang de deduhe,	二十九日，自小和尔郭还返往察哈尔，至辉松斋档地方驻跸。
nikan -i qouha be ulan de fihebufi tanggv funqeme waha,	明兵坠壕死者百余名，
julergi mederi jakarame aba genere de, udahai nirui jongtoi boui solho haha jung bou ki be kutule gamafi, qasi solho de ukame genehe be, solho -i han baiqame bahafi benjihe,	沿南海行猎时，乌达海牛录下钟托依以家内朝鲜男丁钟保琪为跟役携往，后钟保琪逃往朝鲜，为朝鲜王查获送还。
abka na be hvlame buqehe kai,	呼天喊地而死也。
joude beiguwan be, jang douli de biyaluha,	兆德备御战张道台兵时退缩，
iqe jakvn de, bulungtu bulak de deduhe.	初八日，驻跸布龙图布拉克。
han hendume, ere aba de beise ambasai juse, nirui ejete -i juse abalakini, gabtame niyamniyame taqikini seme henduhe.	汗谕曰：“此次行猎，命诸贝勒大臣之子及牛录额真之子一同出猎，以习骑射。”
ere gese bade tusa okini seme zung bing guwan -i hergen buhe kai,	冀于基业有所裨益，故授以总兵官职也。
tese de unggihe bithei gisun,	致书云：
ini elqin jihekv juwe bithe unggihe,	其明未遣使来而致书两封。
ese karaqin -i dorji taiji -i juwe haha juwe hehe juwe jui ukame genere be bahafi gajiha.	喀喇沁部多尔济台吉属下男丁二人、妇幼各二人外逃，彼等擒获来献。
tere dobori hoton be xurdeme kafi deduhe.	是夜，围城而宿。
hvda bodoqi, emu suje -i hvda de juwan moqin bahambi,	计其价值，一缎之价，可得毛青布十。
emu ihan wafi sarilaha,	遂杀一牛，宴之。
monggo -i jihe beile aldangga emu jergi niyakvrafi hengkilehe,	蒙古来归贝勒遥拜一次，
sarkv kai,	人所不知也，
yadara niyalma be tantambi.	穷者鞭责之。”
jugvn de jefu seme orin yan mengguri bufi, sini qihangga bade gene seme sindafi unggihe,	并给盘缠银二十两，任其所往。
meni bade biqi, tebeliyeme aqambi dere,	“倘在我处则犹可抱见，
tesei bahangge niyalma susai, morin ilan, losa juwe, ihan dehi juwe, eihen orin uyun, uheri emu tanggv orin ninggun baha.	彼等俘获人五十、马三、骡二、牛四十二、驴二十九，共计一百二十六。
ineku tere inenggi, han, beise tabqilame genembi sehengge nakafi,	是日，先是汗与诸贝勒欲率兵出略，至是停止，
duiqi deu xandung de genefi, tuttu olhome axxahakv bitele,	弟往山东，故而至今慎未敢动。
dalai qvhur de emu xuxu sijigiyan, enggemu hadala kvdarhan tohoma youni, aisin monggolikv emke, aisin anqun emu juru, juwe suje, sunja moqin, sunja xanggiyan boso,	赐达赖楚虎尔紫袍一、全套鞍辔鞘韂、金项圈一、金耳坠一对、缎二、毛青布五、白布五、
joriha jurgan be jurqerakv, afabuha weile be mutembi, tondo sain seme ilaqi jergi jalan -i janggin be jai jergi jalan -i janggin obuha,	以不负委任，恪尽厥职，忠直可嘉，升三等甲喇章京为二等甲喇章京，
damu han, beise -i tuwaha jurgan hafukakv ofi, tuttu bi genere be lashalarakv,	唯因汗与诸贝勒弗能通情达理，是以我归心未定。
morin emu tanggv juwan baha,	获马一百一十。
fung xun -i zung bing guwan ini juwe xeubei, ba -i emu niyalma, uheri ilan niyalma be bithe jafabufi takvraha bihe,	丰润总兵官曾遣其守备二员、土人一名共三人持书至。
foloho loho juwe, foloho jebele juwe, foloho umiyesun juwe, lekerhi juwe, aisin juwe yan, menggun -i hvntahan emke, hvba erihe emke, xempi emke,	雕花腰刀二、雕花撒袋二、雕花腰带二、海獭皮二、金二两、银杯一、琥珀素珠一、绿斜皮一，
ombu dehi, hon orin, sirantu dehi, genggel nadanju, xamba emu tanggv, ajinai emu tanggv gvsin.	鄂木布兵四十、霍恩兵二十、西兰图兵四十、庚格勒兵七十、沙木巴兵一百、阿济鼐兵一百三十。
qagan lama, erdeni nangsu, aisunggv dadai, bangsun emu boui tofohoto niyalma, susaita seke, tanggvta gin orhoda be gamame, daiming gurun -i jasei xurgei duka de hvdaxame genehe.	察汉喇嘛、额尔德尼囊苏、艾松古达岱、邦孙率每家十五人，各携貂皮五十张、人参百斤，往大明国边门杀虎口贸易。
buhe manggi, bi dain nakafi taifin banjiki seme doro aqara bithe arafi, ududu mudan unggiqi,	我犹愿息兵，共享太平，屡遣人致书议和。
tereqi manju -i qouha julesi ibeme jidere hafan be okdome genere de, solho -i elqin emdubei jidere be aqame genehei, qouha ping xan de isinafi ing iliha,	于是，大军前进，往迎所来官员。在途屡遇朝鲜使者，行至平山驻营。
ma zung bing guwan, he zung bing guwan, ma fujiyang, wang fujiyang, ere duin nofi de	麻总兵官、贺总兵官、马副将、王副将等四人，
tere xangnara de, gvnin ijishvn wang ni liu qang su be hvlaqi jabuhakv seme, bithei niyalma enduringge han de gisun wesimbuhe manggi,	颁赏时，呼恭顺王下之刘昌苏，该员不应，文人奏闻圣汗。
tere afaha de, tob seme henduqi, nikan -i qouha duin tumen, juxen -i qouha emu tumen sunja minggan bihe,	是役，确切言之，明兵四万，诸申兵一万五千，
suweni juwe ejen -i ishunde qihangga be tuwame anda sadun seme gaime bume yabu,	若尔等两者之间自愿联姻缔好，相互馈赠可也，
tere be nakabuqi, gvwa geli alhvdambi,	倘革其职，必致他人效尤，
morin juwe ba saqibuha seme xangnaha.	马被砍伤两处。故此赏之。
tofohon inenggi on -i bade orin inenggi otolo isinara jergi yaya weile be,	十五日之路程，二十日始到等诸罪，
harangga albatu niyalma waqi, ilan tanggv anju gaimbi,	若所属下人杀之，则罚肉肴三百。
emu bigan ulgiyan -i yali, emu giu, orin nimaha, emu suje, juwan moqin xangname bufi, jaqin jui qendei be, nikan bithe be kiqeme taqi seme henduhe.	并赐一野猪肉、狍一、鱼二十、缎一、毛青布十，仍谕其次子陈德依勤习汉书。
dade gashvre de, meni meni ba na be tuwambi seme gisurefi,	当初约誓云各守疆土等语。
hoxoi fujisa, doroi fujisa, doroi beile -i sargan fujisa, gvsai fujisa, gurun -i gungju se, hoxoi gungju se, hoxoi gege se, doroi gege se, doroi beile -i jui gege se, gvsai gege sede jergi bodome faidan -i jaka be toktobuha,	诸和硕福晋、多罗福晋、多罗贝勒福晋、固山福晋、固伦公主、和硕公主、和硕格格、多罗格格、多罗贝勒格格、固山格格等，按级定仪仗。
gege jou,	“格格罢也，
gulu suwayan -i oboi, kubuhe suwayan -i haningga, gulu fulgiyan -i liuha, kubuhe fulgiyan -i ilemu, gulu lamun -i ulai,	正黄旗鄂贝、镶黄旗哈宁阿、正红旗刘哈、镶红旗伊勒穆、正蓝旗乌赖、
jai dosire de juleri dosika,	再次进攻时，
nikan -i ere gese holtorongge ambula,	汉人此等谎言多哉，
juwe gurun ehe oho qi ebsi, geneme gorolame yabuhakv,	自两国交恶以来，已久未往来。
dahv arara, onqo hayahan hayara, monqon hadame mahala arafi etuqi, jafaha niyalma gaimbi,	有染貂皮缝制端罩、缘阔蟒缎披领及帽装菊花顶服用者，则命拿获之人取之。
godos, jalait nadan taijisa darhan taiji -i juse de sain niyalma tuqibufi elqin takvrafi,	选精明者出使郭尔罗斯、扎贲特七台吉及达尔汉台吉之子处，
ninju emuqi debtelin sure han -i forgon -i baita ninggun haqin, aniya biya be ejehekvbi	第六十一册天聪朝记事六件年月未记
musei jase be badarambure gurun be teyebume ergembure, saisa be baitalara irgen be ujire, goroki be elbire hanqiki be gosire,	正可拓我疆土，裕我国赋，举贤养民，招远抚近也。
dalingho be kaha de, hoton -i julergi tai be qouha tuqifi afanjiha be, yafahalafi hoton -i hanqiki ulan de niketele gidaha,	围大凌河时，敌兵出城，来攻城南台，彼徒步追击至城壕。
qouha genehe abatai beise, yoto beise, qouha genere jugvn de,	出征贝勒阿巴泰、岳托行至中途，
boude genere qouha juwan juwe de jurambi.	还沈阳之军，将于十二日启行。
lu geu kiyou -i qouha be juwe xanggiyan, gulu lamun -i emgi gidaha,	复与二白旗及正蓝旗败卢沟桥兵。
dain geli saiyvn,	构兵岂有益乎，
tereqi bata -i ing be efuleme amba dulin be meilefi wame gamaha,	遂由此破敌，追杀大半。
sain serengge mujangga nikai,	观此，洵属贤能。
tere anggala, mini erdemu udu foholon arga komso seme, mujilen de tob seme tondo akdun be tebufi, funiyehe -i gese kvbulime eiterere mujilen be deribufi, abkai doro be murtashvn gamarangge akv,	我虽才庸术寡，然居心纯正，毫无诳诈之心、违背天理之行。
baturu gufu bi juleri gaifi afame gaiha,	巴图鲁姑夫率先进击，
iqe nadan de, han -i emhe amba mama, ajige mama, manjusiri nakqu, jasaktu dureng de, han juwe dukai siden de tuqifi,	初七日，延请岳母大祖母及小祖母、满珠习礼舅舅、扎萨克图杜棱。汗御两门之间，
baintu, yeqen, unqehen de tutafi, hing xan, sung xan -i emu minggan kurelehe yafahan qouha be gidaha,	拜音图、叶臣殿后，败敌杏山、松山所围步兵一千人。
amba asihan yaya niyalma suwe qouha genere be, duleke aniyai adali goidambi serakv,	“尔等勿谓出兵之期仍如去年迟误，
ereqi amasi saikan faxxarakv oqi, gvwa niyalma be sindambi sehe,	嗣后尔等若不竭力勉为，则用他人也。”
tuttu oqi, jihe inu,	果真如此，来则来也。
tere inenggi, tung jeu bira be doufi, heqen -i amala deduhe,	是日，渡通州河，驻营城北，
te ere takvraha amban amasi jidere fonde unggihe ohode, wesihun gurun -i sain gvnin be tesume sambi kai,	今若令彼随去使归国，则足知贵国之美意也。
be lama minde juwe jergi aqaha, dahvme gvni.	白喇嘛曾见我两次。请再思之。”
ilan xeubei de suje duite, sujei etuku duite, moqin samsu jakvta, jafu emte,	守备三员，各赏缎四、缎衣四、毛青布八、毡一；
han jugvn de ebufi qai omibufi wajiha manggi, lama -i jafaha emu morin be, han hendume, lama sai morin be gaiqi aqarakv seme bederebuhe bihe,	前来送行，汗于途中下马赐茶饮毕，喇嘛进马一。汗曰：“喇嘛等之马不宜受。”却之。
enduringge han de ilan jergi niyakvrafi ilan jergi hengkilere de, han karu ilan jergi buhi arame niyakvrafi hengkilehe,	向圣汗行三跪三叩首礼。汗屈膝答拜三次
ere ilan,	此其三也。
tere inenggi, asan, turusi, lousa, ubai, duin amban de neneme genehe qouha be halafi, emu nirui emte bayara be adabufi helen jafame geli unggihe.	是日，命阿山、图鲁什、劳萨、乌拜四大臣留其前次所统之兵，率每牛录护军一人复往捉生。
darhan taiji -i elqin genehe,	达尔汉台吉之使臣还。
iqe uyun de, hoton -i qouha tanggv funqeme tuqike bihe,	初九日，明兵百余出城。
tana sindaha anqun juwe juru, gequheri qamqi emke, gequheri juwe, undurakv juwe, nikan -i etuku duin, haqin haqin -i juwangduwan ninggun, qekemu sunja,	嵌东珠耳坠二副、蟒缎衬衣一、蟒缎二、龙缎二、汉人服四、各色妆缎六、倭缎五、
tereqi aisin -i ise mulan faidan -i jaka be gemu faidame wajiha manggi, gurun -i ejen fujin ise de tehe,	俟金椅、金凳等仪仗排列毕，国君福晋入座。
tang taizung yau gin -i suhe saqime lou giyvn tang de jailaha be gvnihakv, onqo jiramin de abkai fejergi be bahabi,	唐太宗不忌避咬金之斧于老君堂，以宽厚得天下。
iqe nadan de, asidarhan nakqu, hife baksi, korqin de doroi gisun gisureme qulgan qulgame dain de genehekv, qulgan de jihekv beise de, gaijara weile gisureme genehe.	初七日，命阿什达尔汉舅舅、希福巴克什往科尔沁议和会盟，议罚未出征、未来会盟之诸贝勒。
jai ini gvsai bithesi tohotoi alame, erei bou bayan aha ihan ambula bi, ere qouha yabure be bame bulqambi,	又有该旗笔帖式托霍托依报其家富，奴仆、牛只颇多，彼只为逃避从征耳。
jai mudan de duin niyalma be waha,	再次杀四人，
jasaktu dureng, manjusiri, darhan hvng baturu de emte gequheri, juwete suje buhe.	扎萨克图杜棱、满珠习礼、达尔汉洪巴图鲁各蟒缎一、缎二。
han jai inenggi dulimbai dukai dolo monggo bou arafi sinagalame tehe,	于次日，汗于中门内设帐房守丧。
kubuhe suwayan -i boro taiji, kitat taiji, gendushib taiji, sanggurjai tabunang,	镶黄旗博洛台吉、奇塔特台吉、根都斯喜布台吉、桑古尔寨塔布囊，
juwan uyun de, aba genehe bade tohoma namki lungto sideri hvlhaha ninggun niyalma be, qouhai jurgan -i yoto beile beidefi, jakvnju juwe xusiha tantafi darama seqihe,	十九日，兵部贝勒岳托审拟前出猎时盗鞠屉、笼头、马绊者六人，各鞭责八十二、割破其腰。
irgen be gosire erdemungge onqo mujilen be inu donjiha,	宽仁爱民之德亦曾闻之。
ere elqin isiname jakade, hvdun jurambufi unggi,	俟其使臣至，速遣之还。
manju -i qouha, heqen -i dorgi hafan qouha be gemu wafi, juwan uyun de ding jeu qi genefi, giya xan -i giyang be doufi deduhe,	满洲兵尽歼其城内官兵。十九日，自定州前进，渡嘉山江，驻营。
han -i yabure de, emu sara tukiyere anggala, sara tukiyerakv jugvn -i niyalma be jailaburakv yabumbi kai,	汗出行时，只张一伞，甚而不张伞，不令行人躲避也。
juleri tuqifi genehe beise, niyalma jafafi fonjiqi, ou muren de sereng qing baturu, gurun baising youni bi seme alaha,	前行诸贝勒擒人讯之，言塞棱青巴图鲁并其部众俱在敖木伦地方等语。
bederebuhe,	却之。
