input	output
tere be ainambi seme gisun wesimbure jakade, han ambula gasame, hife, garin, loxo, jamba be, geren beise de takvrame hendume,	“尔等诸贝勒先欲抛撒莽古尔泰、德格类二贝勒之骸骨，
tere be sini anggai bila,	由尔亲定。
lo ting ubaliyafi medege gaime juwe jergi takvraha niyalma be emkeqi amasi unggihekv ofi,	“乐亭复叛，两次遣人往乐亭侦探消息，竟无一人回报，
korqin -i geren beise jiderakv,	科尔沁部诸贝勒不至，
hvlhame niyalma be tuqibume takvraha de, fujiyang ni yargiyan taxan gisurere be uthai sambi kai,	则可暗地遣人前来，副将此言之虚实即可知也。
tere inenggi, hoton qi jeku hadume tuqike nikan be, buyantu dehi bayara be gaifi boxofi, gvsin niyalma be waha,	即交马总兵官养之。
bi buqehe giran be kimuleme soqi, tere ehe niyalma be alhvdambiu,	如是则非贤者之义也。
gosin onqo hvwaliyasun enduringge han ejen de, gurun -i suduri yamun -i hife, garin, manju monggo nikan meni geren bithesi se niyakvrafi wesimbure gisun,	“国史院希福、刚林及满蒙汉笔帖式等跪奏宽温仁圣汗：
muse be weile arame feliyehe serahv seme tuttu bederehe,	又恐人言我等犯罪，故引军还。”
baturu gufu emhun fargafi, gure -i bigan de amqanafi, kosi be wafi, uyun morin be gajifi han de buhe,	巴图鲁姑夫独往追赶，至古勒郊野杀阔喜，夺回九马进献于汗。
suwayan giltasikv emke, qekemu ilan, niuwanggiyan juwangduwan emke, fulgiyan gequheri juwe, suje juwe, pengduwan juwan, g’au lii bu emke,	黄片金一、倭缎三、绿妆缎一、红蟒缎二、缎二、彭缎十、高丽布一、
si ere utala neneme eherehe weile be akv arafi, membe neneme eherehe serengge, abka be sarkv semeu,	尔先数次启衅，却权当无有，反言我先寻衅，天岂不知之。
hvlara hafan niyakvra hengkile seme hvlaha manggi, ilan jergi niyakvrafi uyun jergi hengkilehe,	赞礼官赞跪赞叩，行三跪九叩礼。
weilengge manggvltai, degelei juwe beile -i giran sindaha aisin menggun -i tetun be gaifi, be asarahabi,	作何处置耶。”汗大怒，遣希福、刚林、罗硕、詹霸等往谕诸贝勒曰：
jakvn tu be juleri sisifi, monggo buren yehere buren burdeme, laba, bileri fulgiyeme, abka de ilan jergi niyakvrafi uyun jergi hengkilehe,	立八纛于前，吹螺掌号及喇叭、喷呐，拜天，行三跪九叩礼。
beile dosiqi, suwe ainu iliburakv emgi gaifi dosika,	今贝勒进击，尔等何不阻止，反率兵与之同进。
juwan ninggun de, bi ginjeu be tuwaname tumsi, lousa de juwe tanggv niyalma adabufi,	率山海关外马兵七千、步兵一万，悉人锦州等语。
auhan -i bekitei, togo, naiman -i abang, esede emte morin, ilan niyalma de aqan emu temen,	敖汉部伯齐特依、托廓，奈曼部阿邦等，各赏马一，三人合给驼一；
emu,	此一也。
ilaqi debtelin sure han -i suqungga aniya duin biya	第三册天聪元年四月
sinahi songgoro de, minggan beile tafulame hendume,	临丧恸哭。贝勒明安劝曰：
amasi jidere de, alin de xanqilaha monggo de juleri dosika,	俘获甚众。
tere fonde ainame kanagan arafi dosiqi musei qiha,	彼时乘隙而入，任我为所欲为矣。
duin iqi tabqilame jeku be durime gaijara be, wesihun gurun sarkv semeu,	四出掳掠，夺取粮谷，岂贵国所不知乎。
geren geli endembiu seme henduhe manggi, juwe qin wang jabume, han gosin onqo be gvnime, meni buqere beyebe dahvme ujihe,	众亦岂有不共见之者耶。”谕毕，二亲王对曰：“汗克宽克仁，俾我等死而复生。
meni bederebuhe hada -i niyalma be yehe suqufi gamaqi, suwe umai sehekv,	其我释还之哈达人，叶赫掠之去，尔明国却置若罔闻。
ahaliyan ilaqi jergi meiren -i janggin,	阿哈廉系三等梅勒章京，
baibi taifin banjire de buyeme dain arafi, aikabade gurun samsifi gemu gvwa gurun de dosifi elemangga sinde jobolon ojoro ayou,	坐享太平之时，愿起衅端，倘若国人散离，各投他国，恐祸患及身也。
si geli boigon gajime beging qi deu be baime ukame jihengge, unenggi akdun kai,	尔复为寻弟，携眷由北京来归，洵属诚信。
terei amala, geli yehe de dafi, mini buyanggv hiya be waha,	其后，乃又助叶赫杀我侍卫布扬古，
ma fujiyang ni boigon ganahangge, beging qi tuqifi mederi be jimbi sere,	往取马副将之家眷，闻已离北京，自海而来。
aqara doro be gisureqi hvdun sain kai,	若欲修好，则速议之为善也。
juwan juwe de, han amba sarin dagilafi tulergi goloi beise be sarilaha,	时科尔沁贝勒杜梅之妻献雕鞍马二、空马十八、羊三、貂皮端罩一。
meiren -i janggin be jalan -i janggin uqaraha de, jugvn -i dalba be anabume yabumbi,	甲喇章京遇梅勒章京时，让以路，行路旁；
han hendume,	汗曰：
houxan -i sara emke, aga de eture moqin -i kurume emke,	金簪二、珍珠包头一、翡翠翎簪九、蓝缎伞一、
ba ba -i gurun gemu buyeme dahaha,	各国悦服，
han hese wasimbume, tuttu oqi ihan bure sefi, tereqi han majige genehe biqi, amargiqi xoto age amqame jifi geli hendume,	汗谕曰：“既如是，赐以牛。”汗稍前行，硕托阿哥自后追至，复曰：
doro aqarakv oqi, qahar minde burulame tumen bade goro genehebi,	旁无窥伺，
efujehe hafasa meni meni gung be bithe arafi, han de bithe wesimbuhe,	各革职官员遂以其功具书奏闻。
i umesi ing hadafi iliqi, musei ubai pou gamafi pou -i aqinggiyaki,	若乘夜冲击尔营，则命士卒避于安全之地，择精兵击之。
jai aliha qouha be emu niru de emte uksin, emu gvsa de emte janggin tuqibufi, sele be da arafi, jidere jugvn be kame unggihe,	又选阿礼哈超哈每牛录甲士一人、每一旗章京一员，以色勒统之，前去堵截其来路。
beging heqen -i yung ding men dukai juleri juwe ba -i dubede, duin zung bing guwan man gui, he yvn lung, ma deng yvn, sun zu xeu, morin yafahan duin tumen qouha jase jafafi,	供称北京永定门南二里外，有满桂、黑云龙及麻登云、孙祖寿四总兵官领马步四万，结木栅，
gurun -i ambasa, gvsai beise de sadun jafaqi, jafan uyun morin, uyun foloho enggemu hadala, uyun uksin saqa,	国中大臣若与固山贝子结亲，则聘礼为马九、雕鞍辔九、盔甲九；
lii z gung, lii iu gung, jang xang u ilan nofi daqi gisurere de tuqifi gisurehe,	李子功、李有功、张尚武三人，初议降时曾出面协商，
taka yalufi yabu seme juwe morin buhe,	马二匹，暂行骑用之。
be inu tere gisun be unenggi amba jurgan seme, meni geren beise elqin takvrafi wang be meni hebe de dambiu darakvn seme donjibume unggihe,	我等思之，王应以汗兄军威所向，招降各国，获得玉玺而深感欣慰，
orin ninggun de, aru -i kal.ka -i gurun de xangname buhengge,	卫征喇嘛上好蟒缎一、缎二、毛青布二十四，跟役三人各毛青布五。
tuttu donjime wajiha manggi, hvlara hafan -i hengkile niyakvra seme hvlara be tuwame ilan jergi niyakvrafi uyun jergi hengkilehe,	赞退，乃各复位。
baha olji be han de tuwabuha,	以其所获献汗阅视，
tung fuma hendume,	佟驸马曰：
abkai hesei forgon be aliha gosin onqo hvwaliyasun enduringge han -i hese,	“奉天承运，宽温仁圣汗制曰：
fulingga bisirengge sinde aisilame han tembi,	有福者皆助尔称帝。
nirui janggin sa, sele -i foloho aisin ijuha muheliyen touhan umiyesun,	牛录章京，镌铁花镀金圆带板腰带；
orin sunja de xolingho bira be doufi ulan fetefi sejen kalka pou miyouqan akdulame ing iliha bade,	二十四日，明马步兵四万余，由锦州城出。
tofohon de, han giyouqan de tuqifi, gulu suwayan -i bayara be isabufi, yangguri efu qi fusihvn waqihiyame uksile seme uksilebufi,	十五日，汗幸校场，集正黄旗护军，命自杨古利额驸以下尽皆擐甲，
hiyan dabu sehe manggi, enduringge han, tan -i dergi ashan -i tafukv be tafame genefi, abka -i sourin -i juleri niyakvraha manggi,	赞上香，圣汗从坛东阶升至上帝神位前跪。
ineku tere inenggi, dahabure bithe arafi kiru jafabufi, golo golode takvra seme, be du tang de afabufi takvraha.	是日，命白都堂遣人给以招降书及令旗，往各地招降。
ninggun biyai iqe de, asan -i deu adahai be waha,	六月初一日，诛阿山之弟阿达海。
wabuha niyalmai oron toudame gaifi meni meni niru de buhe.	凡被杀者，计缺赔赏，给各牛录。
waha beise -i juwan duin bou be,	将被杀贝勒下十四户，
juwan juwe de, abatai taiji, jirgalang taiji, sahaliyen taiji, neneme jihe geren qouha baha olji be gamame boude genehe,	十二日，台吉阿巴泰、台吉济尔哈朗、台吉萨哈廉率众兵携俘获还沈阳。
gashvha inenggi qi ebsi, meningge suwende geneqi suwe benju,	盟誓之日前，凡逃入彼处者，皆可容留。
gulu lamun -i dalai, ini gvsai dai darhan de enduringge han de deji gaimbi seme, duin tanggv uyunju nadan yan menggun gaifi deji burakv,	正蓝旗达赖以进献圣汗为名，向戴达尔汉领取银四百九十七两，然并未进献，
kabahai weijeng ni emu tanggv susai bou, ilan niru, janggin -i gebu esendei, bugvluk, mandusun,	桑图之五十家，编为一牛录，章京姓名：绰琫；
dorji efu serengge monggo gurun -i urut -i beise,	多尔济额驸系蒙古乌拉特部贝勒。
ilaqi jergi ninggun niyalma de, moqin -i sijigiyan, qamqi, fakvri, umiyesun, mahala, gvlha, emte jergi, suje emte, moqin juwanta, dambagu sunjata kiyan,	三等六人，赐毛青布袍、衬衣、裤、腰带、帽、靴各一套，缎各一，毛青布各十，烟各五刀。
suweni miusihon tere juwe,	此乃尔之偏私，此二也。
ere emu,	此一也。
terei alarangge, monggoso, nikan -i hoton de dosikangge gemu dahaha,	“蒙古人中入明城者皆降。
tere inenggi, karaqin -i engkesereng ni adulai emu sakda -i yali, emu honin yali gajime han de hengkileme jihe,	是日，喀喇沁部恩克色棱属下阿杜赖携一野猪之肉及一羊之肉前来朝见。
aisin gurun -i han sain okini seme gvnifi, fe ba na be bederebume abka de gashvfi,	金国汗意欲和好，即归还旧地，誓告于天。
beye jafabuha, bi buqeqi, mini sunja jui ilan omolo tese banjikini,	因不能挡，为尔所败。
qouhai morisa gemu neigen tarhvhabiu akvn,	军马皆膘壮与否。
sibuhai untuhun nirui janggin,	希布海无官衔而掌牛录章京任，
orin jakvqi debtelin sure han -i duiqi aniya sunja biya	第二十八册天聪四年五月
zu zung bing guwan be dosimburakv,	未令祖总兵官入城，
fusihvn gurun -i mutere ba waka ofi, tuttu amasi julesi hebdeme toktobufi, wesihun gurun alime gaiha,	敝国使者业与贵国使者面定而还。
batun baksi de gvsin yan menggun, suje duin, emu elbihe jibqa, emu beri, dambagu susai kiyan,	茶一百斤、粉五斤、针五千、毛牛角二百对、耳坠、生丝、线二百六十盒、石青十两，
bi niyalma buqere irgen joboro be safi, hanqiki gurun -i sain doro be hairame, taifin banjire be gvnime ederebuhengge kai,	盖我知人亡民苦，惜邻国和好之道，念两国太平，故撤兵耳。
gemu qeni araha waka de kai,	皆由彼二人之过所致矣。
oban emu morin,	鄂班马一。
jo jeu de g’o taigiyan -i emu minggan qouha be gidaha,	于涿州击败郭太监兵一千，
barin -i beise suwe minde nikeme jifi qouha de yabuqi kiqerakv, morin salafi yaluburakv, yaburengge amtan akv oqi,	尔巴林部诸贝勒，既来投我，倘不竭力戎行，又不承办马匹，怠缓不前，
bigan -i gurgu meihe jabjan inu eyehe.	野兽蛇蟒亦被冲走。
neneme dalingho de bi sinde emu niyalma be benefi, simbe tere be jafafi ume sindara sehengge, si uthai sindafi unggihe,	前于大凌河，我送一人与尔，令尔执而勿释，汝竟释而遣归。
nikan han kesi akv ofi, monggo -i gala de waliyabuha,	明帝不德，失之于蒙古之手，
lu geu kiyou -i juwe ba -i qouha be jakvn gvsai emgi gidaha,	又同八旗兵击败卢沟桥二处敌兵，
langsu -i nadanju emu bou, susai bou be emu niru, janggin -i gebu heridei,	朗苏之七十一家，以其五十家编为一牛录，章京姓名：赫里德依；
tujan -i qen ki sin tuwa baiqame yabuha,	图瞻之陈启新曾查管防火、
tere amban, gurun irgen -i jalin gvnire amban waka kai,	其臣非谋国为民之臣也。
dain saiyvn,	交战何益，
dai an keu be dosika dobori, ma lan ing ni canjiyang ni qouha, jasei duka de ilinjiha be jangga sirdan -i gabtame bederebuhe,	纳穆泰，升三等副将为三等总兵官之缘由：
tuttu bime faquhvn be erime emke de toktobume mutebuhekv aqafi bederehengge, terei mujilen qihalahakv, hvsun hamihakvngge waka,	然而，未能平乱统一，遂议和而归，并非其心不愿，力不足也。
ere gese weile be wesimburengge inu giyan,	“此等事固当奏闻，
susai morin baha,	获马五十。
bi emhun jurafi aqarakv bedereki, qahar -i emu ujan be suquha seme henduki sehe arga tere wakau,	不如独行，以便不会师而私自退回，且可托词曾掠察哈尔边界。此非尔之阴谋乎，
uksin saqa morin olji be sain be tomsoho,	所获马匹甲胄，取其善者，
tubai juxen nikan be gaifi jiqi, suweni gajiha juxen nikan be gemu suwende salibufi qihangga bade tebure,	若率彼处诸申、汉人来归，则将所携诸申、汉人尽归尔等专主也，任尔等择地居住。
ginjeu -i qouha be neneme gidaha de beile qi lakqafi juleri dosika,	先击败锦州兵时，离贝勒率先进击。
orin ninggun de wasimbuha bithei gisun,	二十六日，颁书云：
olji dendere onggolo hehe ume dedure,	分赏俘虏前勿淫妇女。
boude bihe amin beile, xoto taiji, emu nirui orita uksin be, yung ping de tehe ilan taiji qouhai niyalma be halame gene seme unggire de,	因备办甲胄、军械，督种田禾，会见来朝异地蒙古人，拟俟诸事就绪立秋后复往，
qouhai niyalma de emu inenggi juwe niyalma de aqan emu to -i jeku bumbi,	兵士每二人日给一柳斗粮。
kubuhe xanggiyan -i gvsai ejen ilden weile baha manggi, gvsai ejen be nakabufi turgei be gvsai ejen sindaha,	镶白旗固山额真伊勒登获罪，解固山额真任，以图尔格依为固山额真。
sain mujilen jakvn hoxo be ujimbi,	仁育八方。
tere bithede henduhengge,	其书曰：
jasei tule yehe de dame qouha tere,	援助边外叶赫，遣兵驻守，
jakvn hoton emu hoton be baha de gvwa be gemu bahambi kai,	八城得一，余皆可得矣。
holbaga, bogodaga, mihaqi, babuntai, sabugo, soju, obotai, ubatai,	霍勒巴噶、博果达噶、米哈齐、巴本泰、萨布果、索柱、鄂博泰、乌巴泰。
juwe beile kemuni bikini sembiu,	二贝勒仍欲留其任乎，
orin juwe de, tusiyetu efu -i juwe niyalma elqin jihe.	据闻在格根汗城迤东地方挑选牛羊之农夫，率兵驱赶牧群，匆忙启程迁移等语。
si hanja bolgo ginggun ujen gosin hiyouxungga kundulere doroloro jurgan be akvmbu,	尔务尽清廉、端庄、仁孝、谦恭之义，
suje -i gvlha juwan juru, amba gequheri juwe, undurakv gequheri juwe, nikan -i sain etuku duin, haqin haqin -i eden juwangduwan ninggun, qekemu sunja,	朝鲜大缎、圆彭缎十一、扁彭缎五、绸缎十、帽缎十、朝鲜纺丝五、
dergi hvwaliyasun doronggo boui fujin be dergi amba fujin,	东关雎宫福晋为东大福晋、
bithei da hife, garin juwe amban bou iui dere -i emte ujan be tukiyeme jafafi enduringge han de wesihun alibume,	大学士希福、刚林二大臣各抬黄宝御案一端，进圣汗。
tere unggihe niyalma be geli amasi takvrambi,	凡朝鲜、北面及东虎尔哈诸地消息，令前往捉生者遣人来报。
tung jeng, si dade hvdai niyalma bihe,	“佟正，尔原系商人。
jai emu jergi nonggifi nadan jergi sirambi.	再加世袭一次，准袭七次。
orin emu de tubihe baibume unggihe niyalma solho de dosika tanggv bou isire warka, yeqen, mafuta, duin niyalma be gajime baime jidere be uqarafi gajiha,	二十一日，我遣往采果之人遇瓦尔喀部进入朝鲜居住者，叶辰、麻福塔等四人率百户来归，引至。
han, geren beise geli sain mujilen -i waliyaqi ojoro be waliya,	汗及诸贝勒等仍持善心，可弃者弃之，
bi abkai hesei irgen be ergembume, qouha gaifi julesi jihe,	我承天命，欲安生民，兴师前来，
jai juwe jergi sirambi.	准再袭二次。
membe akdarakv geudebumbi seqi, te biqibe, du ming jung ni beye suwende bikai,	尔若不信，以我为欺，杜明仲现在尔处也。
daqi minde arga akv unenggi gisurembi,	我素无诡谋，唯以至诚相告。
ini amargi unqehen sunja niyalma be waha,	止斩其殿后兵五人，
enggemu hadala tohoho juwe morin, sula ilan morin gaiha,	受其雕鞍辔马二、空马三，
julge wei gurun -i ejen u heu, si ho bira be quwan -i wasire de hargaxame tuwafi u ki -i baru hendume, alin bira akdun sain kai, ere wei gurun -i boubai kai,	昔魏武侯浮西河而下，顾而谓吴起曰：‘美哉乎山河之固，此魏国之宝也。’
amba houxan sunja tanggv kiyan, amba houxan -i jalin nonggiha ajige houxan sunja tanggv kiyan, ajige houxan emu minggan kiyan,	大纸五百刀、又为大纸增加小纸五百刀、小纸一千刀、
gulu lamun -i cui iugi be ni gidaha turgun,	正蓝旗崔游击叙功缘由：
karaqin be fakv alin de usin tarime dosinu sehe bihe,	曾令喀喇沁人人法库山耕种，
han hese hendume,	汗谕曰：
bai ulin jetere jaka oqi, niyakvrafi alime gaifi ineku juwe jergi niyakvrafi ninggun jergi hengkile,	若系平常财帛、食物，亦跪受，仍行二跪六叩礼。
buyandai gvsai tofohon,	布颜岱旗十五匹、
eitereqi jurgan -i ejen de alahakv weile minde bi,	然未转告部员知之，其咎在我。
menggun -i ijifun juwe, sufan -i giranggi ijifun emken, hasaha ulme dobton ninggun, horho juwe, sukv buriha fulgiyan guise duin,	烟百刀、海参十包。
musei ishun emu sirdan iselere we bi,	值此窘迫之际，和则可成也。
gvsai ejen be nakabuha,	免死。革参将职，
hojiger be wesibuhe turgun,	霍济格尔擢升缘由：
jai juwe da moqin,	又毛青布二庹，
mini mafari daqi daiming gurun de umai ehe akv banjire de, mini juwe mafa de umai weile akv daiming gurun baibi waha,	臣之祖宗与大明国向无仇隙。臣二祖本无罪咎，而明国无端杀之。
iqe duin de, xangdu bira de ing ilifi,	初四日，驻营于上都河。
geren -i mujilen de aqarakv ofi, bi alime gaifi gisureqi ojorakv ofi, han de inu wesimbume bahakv,	亦不合众意，止有受而不言，故未奏知于帝。
ere juwe,	此二也。
tuttu akvqi ubade hvdaxambime, tubade hvdaxarakv doro biu,	不然，岂有许彼不许此之理耶。
duin jergi dosifi nakarakv jing songgoro de, geren wang, gvsai ejete niyakvrafi tafulame,	“圣汗至此已久，兹宜还清宁宫。”
juwe beile hendume,	“二贝勒曰：
muse juwe gurun daqi umai weile akv banjiha,	我两国向无仇隙，
haha emu tanggv orin, erei hehe juwe tanggv juwan, deji hehe nadanju,	“男丁一百二十，妇女二百一十口，上等妇女七十口，
iqe ilan de, zun hvwa -i hoton be afame gaiha,	初三日，克遵化城。
tongki fuka sindaha hergen -i dangse.	第二十四册天聪四年二月
ere xajilaha gisun be jurqeme yabure niyalma be, saikan fafularakv karmarakv oqi, tere fafularakv karmarakv gvsai ejen, jalan -i ejen, nirui ejen de weile.	有违此禁令者，将不行严加管教之固山额真、甲喇额真、牛录额真等一并治罪。”
hvlhaqi, hvlhaha jaka be toudabufi, jakvnju juwe xusiha tantambi,	行窃者，勒令赔偿所窃之物，鞭八十二，
bi irgen -i joboro jalin de aqaki sembi dere,	我欲言和，乃为解民之苦耳。
darhan efu gvsa, dalai gvsa gu an hiyan be gaiki seme genefi,	达尔汉额驸旗及达赖旗开往固安县，欲攻取之。
iqe ilan de, wasimbuha bithei gisun,	初三日，颁书曰：
te jihe bithe be tuwafi alimbaharakv sesulaha,	人参之贵贱，唯在两国之人计价交易，
beidere jurgan -i ashan -i amban jang da iui, boigon -i jurgan -i ashan -i amban sui ing dai, ere juwe de silun -i dahv emte,	户部马光辉貂镶皮袄；
arsalan, liyang hiyang ni ebergi qouha be boxoro de, enqu baksan -i qouha aqafi gidaha,	阿尔萨兰追逐良乡北侧敌兵时，遇另队之敌，败之，
kongko, bangsu, lobi gung baime bithe wesimbure jakade, hafan wesibure temgetu gung akv,	孔阔、邦素、洛比奏书请功，因无升迁之功绩，
yungxun, liyang hiyang ni qargi yafahan qouha be aliha qouha -i emgi gidaha,	永顺复与阿礼哈超哈败良乡一带敌步兵。
hvlha de hvlhaburahv,	以防被盗。
juwan jakvn de, ginjeu heqen -i hafasa qouhai niyalma be futa -i wasime jiu seme bithe arafi, sirdan -i da de hvwaitafi heqen -i dolo gabtaha,	十八日，系书于矢，射入城中，谕招锦州城官兵缱城来降。
elqin yaburengge emgeri lakqaha be dahame, meni niyalma be unggihekv,	唯因使臣往来既断，未遣我人往，
gungju be tafulaqi, ojorakv ofi, han hendume,	因劝公主不止。汗曰：
enduringge han tuwafi gemu bederebuhe.	圣汗阅毕，悉却之。
uheri ilan tanggv jakvnju, menggun juwe tanggv susai sunja xoge,	合计三百八十，银锭二百五十五；
geli mini ambasa be sini g’olou -i yamun de jiu gisun gisureki sehebi,	又令我大臣至尔阁老衙门议事，
orin uyun de, amin beile, jirgalang taiji, xoto taiji, geren qouha be gaifi wasihvn tabqin genehe,	二十九日，贝勒阿敏、台吉济尔哈朗、台吉硕托率众兵西掠。
yaya weile neqilie taijisa akta -i hvsun be efulerakv,	凡犯罪之诸台吉，当不劳累马力，
dahame jihe monggo -i beise, han de hengkileme jidere de, han, geren beise ambasa gemu iliha,	来归蒙古诸贝勒趋前将拜，汗与诸贝勒皆起立。
genere de juwe indehe be dabume tofohoqi inenggi isinaha,	“去时计在途宿二日，行十五日方至。
ese be mederi dalin -i ebsihe beneme samsika, holohoi, dajiha de, emu gvsai bayara ilata, kutule juwete adabufi unggihe.	遣达海、库尔禅、索尼送之去。
temen jafaha niyalma be tantahabi,	殴打牵驼之人，
ahvn deu araha hairaka doro kai,	兄弟之谊，诚可惜也。
ninggun biyai iqe de, man zung bing guwan -i qouha, mi yvn -i qouha be gidaha doroi jakvn ihan wafi tu weqehe,	六月初一日，以击败满总兵官之兵及密云兵，杀八牛祭纛。
g’au yung fu, si dade qang hing pu -i xeu pu bihe,	“高永富，尔原系昌兴堡守堡。
jai sini daiming ni dolo, monggo -i jakiyan de buhe kouli inu bi,	亦有尔明以物送于蒙古使者之例，
manglai -i ninggun morin, juwan emu temen, abang ni nadan morin, tofohon temen, bekitei, togo -i juwan juwe morin, tofohon temen,	莽赖马六、驼十一，阿邦马七、驼十五，伯齐忒及托廓马十二、驼十五，
enduringge han de gisun wesimbume, bi qai muke omiha, han, te genggiyen elhe boude weski seme amban janggin asan, meiren -i janggin turgei be takvraha manggi,	圣汗从其言，于戌刻还清宁宫，
jau xi hing, si dade xusai bihe,	“赵士兴，尔原系生员。
emu gvsa de juxen faksi emte juwete bi,	诸申匠人，每旗皆有一二，
tere bithei gisun,	书云
mouminggan ukame genere de, gurun -i dube qi durifi gamaha duin tanggv gvsin ninggun morin, dehi hehe,	茂明安人出逃时，由该部边界夺马四百三十六、妇女四十口而去。
sonom -i duin tanggv susai bou, uyun niru, janggin -i gebu hayang doulihv, omoktu, xodoi, seuke, gunggene, batu, mani, bodi,	索诺木四百五十家，编为九牛录，章京姓名：哈扬、道里呼、鄂莫克图、硕多依、叟格、恭格讷、巴图、马尼、博第，
tede mungtan mini ilan ahvn wabuha,	孟坦之三兄被杀。
tere yamji geren taijisa, gvsai ejete, han -i jakade jihe bihe,	是夜，诸台吉、固山额真等集于汗驻所，
kalka de niyaman hvnqihin doro jafaha seme ume akdara,	虽与喀尔喀结亲通好，亦勿信之。
daiqing gurun -i han -i bithe, qouhiyan gurun -i wang de unggihe,	“大清国汗致书朝鲜国王：
han -i beye goro okdorongge jou,	但出迎于沈阳城附近，拜堂子即可。汗若不允，坚意出迎，则相见时，汗宜端坐，
beging de qouha genehe mudan de, beging ni amargi dukai tule gidaha qouha de, yaya qi juleri dosika,	往征北京，击败北京北门外敌兵时，身先众军冲人。
gajiha ulin be sunja biya be manabufi ninggun biya de dosimbukini.	其携回各物，俟逾五月，至六月再携之入城。”
alai darhan de juwe temen, ayusi manglai de juwe temen, darhan joriktu -i qinuwa de juwan juwe temen, dalai buyantu de sunja temen,	给阿赖达尔汉驼二、阿玉希莽赖驼二、达尔汉卓里克图下齐努瓦驼十二、达赖巴彦图驼五、
bi jing kemuni dahvn dahvn -i aqara be gisureqi, daiming ni han ambasa karu emu gisun jaburakvngge, qohome faquhvn weile be dekdebure, gurun irgen de jobolon oburengge kai,	我屡次言和，而大明国君臣无一言回复，是有意召乱而贻祸国民也。
amaga inenggi gurun taifin oho manggi, tere gemu gung kai.	日后国归太平，即皆立功也。”
duin jeqen -i tulergi de urunakv hanqiki gurun bi,	四境之外必有邻邦交则为友，
tere yamji juleri karun genehe turusi, lousa monggo -i samsifi bihe haha emu tanggv, hehe juse emu tanggv funqeme, jakvn morin bahafi,	是夜，前哨图鲁什、劳萨获流散蒙古男丁一百人、妇孺百余口、马八匹，
juse sargan be ainu jobolon de tuxabumbi seme hendunume,	我等宁死城中，
manggvltai beile de bai emu morin, seke -i hayaha jibqa emke jafaha bihe,	大贝勒空马一、貂镶皮袄一，
